,object_id,creation_time,name,email,creation_source,last_session_creation_time,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,invited_by_user_id,adopted user,ad_usr
0,1,22-04-2014 03:53,Clausen August,AugustCClausen@yahoo.com,GUEST_INVITE,1398138810.0,1,0,11,10803.0,no,0
1,2,15-11-2013 03:45,Poole Matthew,MatthewPoole@gustr.com,ORG_INVITE,1396237504.0,0,0,1,316.0,yes,1
2,3,19-03-2013 23:14,Bottrill Mitchell,MitchellBottrill@gustr.com,ORG_INVITE,1363734892.0,0,0,94,1525.0,no,0
3,4,21-05-2013 08:09,Clausen Nicklas,NicklasSClausen@yahoo.com,GUEST_INVITE,1369210168.0,0,0,1,5151.0,no,0
4,5,17-01-2013 10:14,Raw Grace,GraceRaw@yahoo.com,GUEST_INVITE,1358849660.0,0,0,193,5240.0,no,0
5,6,17-12-2013 03:37,Cunha Eduardo,EduardoPereiraCunha@yahoo.com,GUEST_INVITE,1387424226.0,0,0,197,11241.0,no,0
6,7,16-12-2012 13:24,Sewell Tyler,TylerSewell@jourrapide.com,SIGNUP,1356009872.0,0,1,37,,no,0
7,8,31-07-2013 05:34,Hamilton Danielle,DanielleHamilton@yahoo.com,PERSONAL_PROJECTS,,1,1,74,,no,0
8,9,05-11-2013 04:04,Amsel Paul,PaulAmsel@hotmail.com,PERSONAL_PROJECTS,,0,0,302,,no,0
9,10,16-01-2013 22:08,Santos Carla,CarlaFerreiraSantos@gustr.com,ORG_INVITE,1401833283.0,1,1,318,4143.0,yes,1
10,11,26-12-2013 03:55,Paulsen Malthe,MaltheAPaulsen@gustr.com,SIGNUP,1388116554.0,0,0,69,,no,0
11,12,17-04-2014 23:48,Mathiesen Lærke,LaerkeLMathiesen@cuvox.de,ORG_INVITE,,0,0,130,9270.0,no,0
12,13,30-03-2014 16:19,Fry Alexander,AlexanderDFry@cuvox.de,ORG_INVITE,1396196378.0,0,0,254,11204.0,no,0
13,14,11-10-2012 16:14,Rivera Bret,BretKRivera@gmail.com,SIGNUP,1350058473.0,0,0,0,,no,0
14,15,16-07-2013 21:33,Theiss Ralf,RalfTheiss@hotmail.com,PERSONAL_PROJECTS,,0,0,175,,no,0
15,16,11-02-2013 10:09,Engel René,ReneEngel@hotmail.com,PERSONAL_PROJECTS,,0,0,211,,no,0
16,17,09-04-2014 14:39,Reynolds Anthony,AnthonyReynolds@jourrapide.com,GUEST_INVITE,1397313578.0,1,0,175,1600.0,no,0
17,18,24-08-2013 00:26,Gregersen Celina,CelinaAGregersen@jourrapide.com,GUEST_INVITE,,0,0,2,3153.0,no,0
18,19,24-05-2013 14:56,Collins Arlene,ArleneRCollins@gmail.com,SIGNUP,1369925796.0,1,0,0,,no,0
